snapped_at,price,market_cap,total_volume
2018-03-21 00:00:00 UTC,34.12488523724256,716622589.9820937,385633.4070420083
2018-03-22 00:00:00 UTC,32.60947383035222,684798950.4373968,359419.65196049894
2018-03-23 00:00:00 UTC,29.447497662409035,618397450.9105897,169816.63235611183
2018-03-24 00:00:00 UTC,30.26545157039586,635574482.9783131,241383.49819858462
2018-03-25 00:00:00 UTC,28.419273768062517,596804749.1293129,188140.18596499143
2018-03-26 00:00:00 UTC,28.234439067169966,592923220.4105692,155827.9049540732
2018-03-27 00:00:00 UTC,25.674647481405973,539167597.1095254,237021.3533163676
2018-03-28 00:00:00 UTC,26.630303523343088,559236373.9902048,204767.93887005182
2018-03-29 00:00:00 UTC,28.587759456789527,600342948.5925801,158709.0158563986
2018-03-30 00:00:00 UTC,25.173776621482133,528649309.0511248,157738.60218870972
2018-03-31 00:00:00 UTC,24.132766889397228,506788104.6773418,160254.58497009822
2018-04-01 00:00:00 UTC,24.25788946917682,509415678.8527132,144562.10501297153
2018-04-02 00:00:00 UTC,22.65446855227089,475743839.59768873,110105.96724486879
2018-04-03 00:00:00 UTC,23.27938992124705,488867188.346188,139777.26544497392
2018-04-04 00:00:00 UTC,23.09222421148197,484936708.44112134,239760.81996582227
2018-04-05 00:00:00 UTC,20.237437349004914,424986184.3291032,126643.58926487115
2018-04-06 00:00:00 UTC,20.542757765865318,431397913.08317167,93277.42171494197
2018-04-07 00:00:00 UTC,19.446528386440022,408377096.11524045,45951.274929262516
2018-04-08 00:00:00 UTC,17.72698243804217,372266631.1988856,190143.53154238337
2018-04-09 00:00:00 UTC,15.072995576101649,316532907.09813464,205473.52165063156
2018-04-10 00:00:00 UTC,14.310201760103457,300514236.96217257,134481.18523568552
2018-04-11 00:00:00 UTC,14.499390056952148,304487191.1959951,134660.08797802904
2018-04-12 00:00:00 UTC,14.527801026595386,305083821.5585031,136072.83681710804
2018-04-13 00:00:00 UTC,29.92197802887538,628361538.606383,686940.8091560793
2018-04-14 00:00:00 UTC,27.536351415285328,578263379.7209918,565423.725068201
2018-04-15 00:00:00 UTC,22.698154814472794,476661251.1039286,344077.1744433304
2018-04-16 00:00:00 UTC,26.075253089073268,547580314.8705386,423515.01880345517
2018-04-17 00:00:00 UTC,24.731239981263105,519356039.60652524,216251.76096391716
2018-04-18 00:00:00 UTC,23.65811416743846,496820397.5162077,229291.70724897235
2018-04-19 00:00:00 UTC,26.647263412697328,559592531.6666439,374455.7351709881
2018-04-20 00:00:00 UTC,30.699070678673674,644680484.2521472,566441.5117011126
2018-04-21 00:00:00 UTC,33.36619805890529,700690159.2370111,434202.2412889388
2018-04-22 00:00:00 UTC,48.72773599408291,1023282455.8757411,1076946.2246497418
2018-04-23 00:00:00 UTC,47.27688173835759,992814516.5055094,1355098.9023792297
2018-04-24 00:00:00 UTC,51.69118279312172,1085514838.6555562,952079.0248146037
2018-04-25 00:00:00 UTC,50.39578644076502,1058311515.2560655,1334780.0924879368
2018-04-26 00:00:00 UTC,44.33628976703058,931062085.1076422,829769.329017858
2018-04-27 00:00:00 UTC,49.79576817074445,1045711131.5856335,724892.5813881042
2018-04-28 00:00:00 UTC,39.86959800783695,837261558.1645759,902156.1434367648
2018-04-29 00:00:00 UTC,36.432689573892894,765086481.0517508,1293958.8030318208
2018-04-30 00:00:00 UTC,34.49828295112372,724463941.973598,738575.4005320563
2018-05-01 00:00:00 UTC,41.029552070002495,861620593.4700524,1061041.3263414954
2018-05-02 00:00:00 UTC,39.327175629324906,825870688.215823,593964.1585678213
2018-05-03 00:00:00 UTC,38.836096662627575,815558029.9151791,441584.7502615972
2018-05-04 00:00:00 UTC,41.88173377401466,879516409.254308,1058909.1025433692
2018-05-05 00:00:00 UTC,35.87666570202596,753409979.7425451,1211312.4979919922
2018-05-06 00:00:00 UTC,30.821233075811282,647245894.592037,1047592.3285765258
2018-05-07 00:00:00 UTC,33.12613308958273,695648794.8812373,629751.7277285705
2018-05-08 00:00:00 UTC,28.721479855037398,603151076.9557853,714484.0962757574
2018-05-09 00:00:00 UTC,27.476673813325785,577010150.0798415,722238.4858411042
2018-05-10 00:00:00 UTC,30.32533036015144,636831937.5631802,1272943.533936608
2018-05-11 00:00:00 UTC,26.633979670235668,559313573.074949,512639.12908400706
2018-05-12 00:00:00 UTC,23.60793392083362,495766612.337506,388163.0325427789
2018-05-13 00:00:00 UTC,24.930722287075053,523545168.0285761,351356.2548414049
2018-05-14 00:00:00 UTC,25.523979231685008,536003563.8653852,290984.7022622521
2018-05-15 00:00:00 UTC,23.67407730175289,497155623.3368107,477265.65958681196
2018-05-16 00:00:00 UTC,23.619465148708844,496008768.1228857,406949.22266296676
2018-05-17 00:00:00 UTC,22.89339592852988,480761314.4991275,312959.7143285988
2018-05-18 00:00:00 UTC,22.619731337255775,475014358.0823713,390032.1656400355
2018-05-19 00:00:00 UTC,21.71045808358665,455919619.7553197,353654.8743763976
2018-05-20 00:00:00 UTC,21.81226716105523,458057610.3821598,242239.05263413338
2018-05-21 00:00:00 UTC,22.010954029715105,462230034.62401724,132213.37845383878
2018-05-22 00:00:00 UTC,21.082077957530263,442723637.1081356,260568.9841540886
2018-05-23 00:00:00 UTC,20.276485628356983,425806198.1954967,862562.0163032396
2018-05-24 00:00:00 UTC,18.14524045666236,381050049.58990955,624682.6984866672
2018-05-25 00:00:00 UTC,26.09070512366432,547904807.5969508,1853013.5881720649
2018-05-26 00:00:00 UTC,25.065863152471678,526383126.2019052,940230.95020622
