Date,Total
2019-01-07,300491956.24
2019-01-08,299339163.96
2019-01-09,292697944.27
2019-01-10,120442298.07
2019-01-11,257765163.23
2019-01-12,290802406.08
2019-01-13,257937842.20
2019-01-14,191629187.26
2019-01-15,261411391.56
2019-01-16,262961575.38
2019-01-17,267924884.56
2019-01-18,277660236.30
2019-01-19,244151380.72
2019-01-20,251644913.62
2019-01-21,248491097.98
2019-01-22,240708087.24
2019-01-23,235787788.93
2019-01-24,243494776.43
2019-01-25,241710177.28
2019-01-26,241907331.69
2019-01-27,245375349.54
2019-01-28,239831642.32
2019-01-29,110993122.62
2019-01-30,218096824.36
2019-01-31,222703976.18
2019-02-01,228666577.29
2019-02-02,227028959.40
2019-02-03,230013244.42
2019-02-04,230127295.94
2019-02-05,229430913.47
2019-02-06,231273136.94
2019-02-07,223333681.34
2019-02-08,228871906.91
2019-02-09,235167475.42
2019-02-10,261139320.44
2019-02-11,258554459.28
2019-02-12,264077880.78
2019-02-13,262141236.56
2019-02-14,267761655.68
2019-02-15,264387498.16
2019-02-16,277093507.76
2019-02-17,268744333.01
2019-02-18,281574784.59
2019-02-19,305819125.38
2019-02-20,325278626.62
2019-02-21,322645926.66
2019-02-22,322273346.61
2019-02-23,330720006.00
2019-02-24,332135495.65
2019-02-25,364416787.12
2019-02-26,309999343.66
2019-02-27,309159374.18
2019-02-28,312433597.50
2019-03-01,310014164.07
2019-03-02,314532262.89
2019-03-03,303624732.59
2019-03-04,305542360.41
2019-03-05,288680650.23
2019-03-06,295972789.95
2019-03-07,320109082.84
2019-03-08,322663486.90
2019-03-09,314523730.43
2019-03-10,324473631.56
2019-03-11,313835747.60
2019-03-12,311112409.64
2019-03-13,312741396.29
2019-03-14,307100618.34
2019-03-15,310006836.67
2019-03-16,316214758.26
2019-03-17,335130994.64
2019-03-18,334848455.98
2019-03-19,330615127.32
2019-03-20,327731261.89
2019-03-21,328283472.36
2019-03-22,325443734.18
2019-03-23,317895424.77
2019-03-24,320257353.56
2019-03-25,321138288.82
2019-03-26,315561565.37
2019-03-27,312363436.93
2019-03-28,327529272.86
2019-03-29,321106178.21
2019-03-30,330061621.70
2019-03-31,336188470.81
2019-04-01,333460244.33
2019-04-02,330978254.07
2019-04-03,361594750.89
2019-04-04,392932918.90
2019-04-05,377869512.07
2019-04-06,387144014.83
2019-04-07,386408512.44
2019-04-08,397314868.43
2019-04-09,417345265.99
2019-04-10,416397449.87
2019-04-11,426381658.71
2019-04-12,390404226.99
2019-04-13,391764520.55
2019-04-14,384361169.38
2019-04-15,384943047.86
2019-04-16,388146901.68
2019-04-17,378592405.43
2019-04-18,391870807.56
2019-04-19,398046174.89
2019-04-20,400802077.21
2019-04-21,394224277.37
2019-04-22,384047397.13
2019-04-23,391612123.21
2019-04-24,398974485.33
2019-04-25,374835374.49
2019-04-26,369675254.12
2019-04-27,353253273.29
2019-04-28,351397722.90
2019-04-29,355871415.80
2019-04-30,345659531.14
2019-05-01,360859250.58
2019-05-02,367995032.90
2019-05-03,360919178.54
2019-05-04,369508006.43
2019-05-05,364541770.68
2019-05-06,365556204.75
2019-05-07,366422292.35
2019-05-08,396594726.19
2019-05-09,376392567.72
2019-05-10,377496114.97
2019-05-11,374509695.16
2019-05-12,403051737.05
2019-05-13,407686685.19
2019-05-14,413872177.14
2019-05-15,442069802.74
2019-05-16,486740747.44
2019-05-17,492855168.51
2019-05-18,457487191.04
2019-05-19,467583199.66
2019-05-20,499545006.99
2019-05-21,489893173.32
2019-05-22,488358808.42
2019-05-23,487452839.17
2019-05-24,462332913.40
2019-05-25,487418847.49
2019-05-26,495186828.50
2019-05-27,477590554.83
2019-05-28,504416215.36
2019-05-29,492147769.39
2019-05-30,486895285.41
2019-05-31,506370688.62
2019-06-01,464900287.58
2019-06-02,490440184.87
2019-06-03,492316483.34
2019-06-04,480029529.04
2019-06-05,449108423.47
2019-06-06,450802268.50
2019-06-07,454782474.92
2019-06-08,458402697.66
2019-06-09,459231885.59
2019-06-10,448830825.94
2019-06-11,450039861.44
2019-06-12,445448012.07
2019-06-13,462252033.90
2019-06-14,473704223.03
2019-06-15,471947873.19
2019-06-16,483324307.55
2019-06-17,496782843.66
2019-06-18,500753899.09
2019-06-19,492451210.36
2019-06-20,491959838.55
2019-06-21,492750196.85
2019-06-22,530113804.05
2019-06-23,559048628.67
2019-06-24,557130390.98
2019-06-25,558559670.20
2019-06-26,556981196.26
2019-06-27,582321118.51
2019-06-28,542317702.38
2019-06-29,534711011.64
2019-06-30,530837844.36
2019-07-01,524027832.98
2019-07-02,516757057.37
2019-07-03,488986544.74
2019-07-04,518289037.53
2019-07-05,523478296.13
2019-07-06,522349436.40
2019-07-07,514099212.46
2019-07-08,521782532.26
2019-07-09,548619945.09
2019-07-10,553818430.35
2019-07-11,546426568.70
2019-07-12,491580759.00
2019-07-13,497840084.43
2019-07-14,480963477.81
2019-07-15,444131044.11
2019-07-16,443431779.98
2019-07-17,453116693.12
2019-07-18,432187195.11
2019-07-19,424182743.61
2019-07-20,424819651.80
2019-07-21,443007033.02
2019-07-22,476650084.66
2019-07-23,426811976.82
2019-07-24,400560139.42
2019-07-25,435689439.36
2019-07-26,416736740.54
2019-07-27,413794501.56
2019-07-28,400167620.42
2019-07-29,401701991.05
2019-07-30,400452929.93
2019-07-31,399934410.88
2019-08-01,408448444.64
2019-08-02,408498626.89
2019-08-03,419934152.87
2019-08-04,425878731.28
2019-08-05,420913306.46
2019-08-06,443573112.62
2019-08-07,431085094.29
2019-08-08,429263646.79
2019-08-09,423599912.33
2019-08-10,426731448.58
2019-08-11,426826739.07
2019-08-12,433190916.07
2019-08-13,436237066.43
2019-08-14,440607038.23
2019-08-15,439008344.43
2019-08-16,407528542.27
2019-08-17,407745818.90
2019-08-18,413126212.89
2019-08-19,416031742.41
2019-08-20,444642544.28
2019-08-21,439784982.99
2019-08-22,424737812.52
2019-08-23,423581430.66
2019-08-24,430004019.56
2019-08-25,428278453.92
2019-08-26,430880628.21
2019-08-27,432524674.28
2019-08-28,425839853.37
2019-08-29,436695792.89
2019-08-30,405559306.81
2019-08-31,416654692.71
2019-09-01,412283215.64
2019-09-02,412015990.00
2019-09-03,417855647.90
2019-09-04,431146020.16
2019-09-05,441265569.89
2019-09-06,428146129.37
2019-09-07,432653500.61
2019-09-08,419038441.76
2019-09-09,440831779.06
2019-09-10,444365772.51
2019-09-11,445425336.95
2019-09-12,440748361.23
2019-09-13,442855590.03
2019-09-14,448058504.41
2019-09-15,447662643.52
2019-09-16,466834224.54
2019-09-17,479616374.18
2019-09-18,493677031.91
2019-09-19,516413933.01
2019-09-20,511755631.23
2019-09-21,530294628.27
2019-09-22,526019297.76
2019-09-23,515842768.12
2019-09-24,512444031.84
2019-09-25,483098071.18
2019-09-26,423035092.62
2019-09-27,433728248.88
2019-09-28,438798959.25
2019-09-29,455802071.46
2019-09-30,447518494.06
2019-10-01,452169043.57
2019-10-02,466199992.98
2019-10-03,459534105.35
2019-10-04,460755696.25
2019-10-05,458425463.48
2019-10-06,457966119.92
2019-10-07,453518307.48
2019-10-08,456476117.95
2019-10-09,473870703.40
2019-10-10,484596373.98
2019-10-11,501809122.34
2019-10-12,492024137.57
2019-10-13,488756016.85
2019-10-14,485783196.67
2019-10-15,489041572.75
2019-10-16,492685979.75
2019-10-17,473007439.22
2019-10-18,480422179.03
2019-10-19,478178444.65
2019-10-20,480393265.80
2019-10-21,476807623.98
2019-10-22,485560835.19
2019-10-23,492873456.51
2019-10-24,509344456.30
2019-10-25,480895763.82
2019-10-26,500089501.77
2019-10-27,555751422.11
2019-10-28,573029079.34
2019-10-29,587041831.33
2019-10-30,599116999.89
2019-10-31,577322607.04
2019-11-01,548331715.91
2019-11-02,552348609.40
2019-11-03,554658280.53
2019-11-04,551649116.38
2019-11-05,591141719.84
2019-11-06,587964248.75
2019-11-07,589028133.91
2019-11-08,583520313.51
2019-11-09,594982874.07
2019-11-10,594585511.89
2019-11-11,586610792.30
2019-11-12,589174288.97
2019-11-13,603156893.44
2019-11-14,595694419.15
2019-11-15,590232145.31
2019-11-16,578754782.52
2019-11-17,558311390.18
2019-11-18,588596767.98
2019-11-19,600987497.81
2019-11-20,588005468.08
2019-11-21,604585600.26
2019-11-22,599783657.77
2019-11-23,562465652.98
2019-11-24,566625322.45
2019-11-25,571302317.33
2019-11-26,580979887.90
2019-11-27,605848068.64
2019-11-28,609617390.00
2019-11-29,655753218.52
2019-11-30,637340608.31
2019-12-01,619475538.61
2019-12-02,602758910.59
2019-12-03,594710340.64
2019-12-04,616514222.75
2019-12-05,612561104.96
2019-12-06,616152212.91
2019-12-07,609769769.32
2019-12-08,610889767.74
2019-12-09,602971720.60
2019-12-10,629477537.45
2019-12-11,615429560.56
2019-12-12,601189786.74
2019-12-13,601685647.39
2019-12-14,613097081.40
2019-12-15,604005295.20
2019-12-16,616835631.39
2019-12-17,617481952.07
2019-12-18,593778036.37
2019-12-19,557250098.58
2019-12-20,588757849.96
2019-12-21,591127126.68
2019-12-22,592546201.93
2019-12-23,599476007.48
2019-12-24,613267181.97
2019-12-25,599188583.88
2019-12-26,592871117.31
2019-12-27,590203281.84
2019-12-28,580878693.80
2019-12-29,593346741.71
2019-12-30,597207833.28
2019-12-31,609180173.36
2020-01-01,603193264.11
2020-01-02,602696674.60
