Protocol,Category,Change 1d,Change 7d,Change 1m,Total 1d,Total 7d,Total 1m,Revenue 24h,Revenue 7d,Revenue 30d
Hercules,Dexes,-34.760572057973036,,,897932,10780712,56586103,,,
Keller Finance,Dexes,,,,,,47,,,
savmSwap,Dexes,,,,0,,,,,
Web3.world,Dexes,-11.79,11.78,37.64,234640,1717541,6627530,,,
HbarSuite,Dexes,-19.84,48.09,-49.35,48789,331124,1886952,,,
Hinkal,Privacy,-77.57,290.01,792.46,21080,137751,15959288,,,
firefly,Dexes,,,-100,0,,226970,,,
Fjord Foundry,Services,,,,,,,,,
Revoswap,Dexes,-11.11,131.11,-32.72,728,8381,55699,,,
zkLite Exchange,Dexes,8.66,16.95,-44.35,138,983,7435,,,
Helix Markets,Dexes,-60.34,-76.91,-64.81,19050,584943,3189268,,,
FeeFree,Dexes,-90.3,-83.4,137.23,223,14515,52088,,,
Nuri Exchange,Dexes,3.5122150403113706,,,8340269,79268222,281049243,,,
NLX Protocol,Derivatives,-100,,-100,0,36,123,,,
BitGenie,Dexes,-37.33035560900189,,,3648,27582,181620,,,
Ape.Store,Launchpad,-30.52,91.63,138.8,1246854,8980715,18005084,,,
Equation,Derivatives,9.510869565217392,,,3224,1260770,15001941,,,
Macaron,Dexes,-23.889035467943163,,,100965,672614,2827414,,,
VanillaSwap,Dexes,26.447830627551504,,,53275,149986,596655,,,
Cropper,Dexes,-7.977024639309269,,,500501,3772169,13124851,,,
Mangrove,Dexes,-100,,-100,0,1975122,5932992,,,
Viridian Exchange,Dexes,-10.64,18.65,-28.7,1915,20783,189321,,,
LineHub,Dexes,-78.75080489375402,,,330,10964,77337,,,
C3 Exchange,Cross Chain,-64.43,-72.12,-90.52,5201,375793,4309825,,,
YFX V4,Derivatives,-63.98,258.25,10831.33,50940,595943,872521,,,
Polkadex,Dexes,-1.48,-21.46,-38.36,37848,291070,1678926,,,
Basin Exchange,Dexes,0,,200.36,94090,473108,1366236,,,
Splash Protocol,Dexes,5.31,206.41,-50.63,135478,922278,4111082,,,
Physica Finance,Dexes,8.31,-52.32,152.73,925,15439,27804,,,
Dragon Swap,Dexes,40.745460589221324,,,1782568,12846311,64102710,,,
stabble,Dexes,135.68,592.33,534.34,3485512,13734310,29012417,,,
Capybara Exchange,Dexes,192.26,229.6,19.41,1112375,7075470,26298910,,,
Jellyverse,Dexes,38.96,106.07,139.63,652916,5233033,20910222,,,
Dusa Protocol,Dexes,-38.55,-8.83,-49.66,29973,506162,2242547,,,
Xei Finance,Dexes,42.22,164.07,368.12,105407,640919,2368032,,,
Yaka Finance,Dexes,134.45,147.22,604.63,280724,1205099,3985296,,,
SparkDEX,Dexes,-44.75654817721622,,,286903,4239652,22462341,,,
SpaceWhale,Derivatives,0,87.15,319.8,5491,43521,169296,,,
Scribe V4,Dexes,-3.43,3.26,6.27,176925,1851018,6825081,,,
Saturn Swap,Dexes,-51.93,-38.93,-43.35,4586,87806,1398728,,,
FWX,Dexes,-70.11494252873564,,,156,8146,137667,,,
OraiDEX Pool V3,Dexes,-21.27,5.73,3.54,237342,2630462,17408794,,,
H2 Finance,Dexes,-70.57684428741014,,,84024,1935613,8497495,,,
seiyan fun,Launchpad,-13.89,97.7,102900,6180,26963,154353,,,
Aquarius Stellar,Dexes,-88.55,-69.32,-84.2,177,10630,44726,,,
XTrade,Dexes,,,,0,0,0,,,
Delta Trade,Dexes,45.86,9.96,47.15,31418,189518,794905,,,
Apex DeFi,Dexes,-42.44,43.92,-31.66,1196,14489,52131,,,
GasPump,Launchpad,-58.78,-24.09,-22.41,291944,1798031,7638824,,,
Torch Stable Swap,Dexes,,708.33,19300,194,1304,6665,,,
PixelSwap (PIX),Dexes,,,,21,21,21,,,
Predict Fun,Prediction Market,80.11,-16.13,43.76,1990363,11299098,31439303,,,
DTX,Dexes,1106.896551724138,,,700,1656,6778,,,
Pear Protocol,Derivatives,-22.81,56.11,,2453298,22449484,66132992,,,
Swap Country,Dexes,166.92,99.95,296.23,7786,23129,186091,,,
Raindex,Dexes,-59.33,29.43,764.35,994,12311,36658,,,
MITTE,NftFi,25.96,,,6667,27774,27774,,,
