snapped_at,price,market_cap,total_volume
2021-11-04 00:00:00 UTC,66.30624347746175,1161358716.0043852,39221018.54776369
2021-11-05 00:00:00 UTC,64.50076499816059,1125693436.4112165,13041218.415450122
2021-11-06 00:00:00 UTC,64.06764518451244,1123839701.9431913,11434884.702658942
2021-11-07 00:00:00 UTC,63.77486088478238,1121735925.3299062,8505886.76441179
2021-11-08 00:00:00 UTC,64.25775029294985,1123821397.949114,8116364.012264522
2021-11-09 00:00:00 UTC,69.18082236710626,1215751715.706643,25161004.560420778
2021-11-10 00:00:00 UTC,72.56871094962968,1266802064.4738965,95772211.89590344
2021-11-11 00:00:00 UTC,67.56060057170775,1209832019.2105923,24369831.543199822
2021-11-12 00:00:00 UTC,67.27704488083934,1174173891.1556406,12831310.0942894
2021-11-13 00:00:00 UTC,65.3025345119431,1141237019.9856994,10724969.520012513
2021-11-14 00:00:00 UTC,65.97550248093536,1155191203.57312,8081955.646571014
2021-11-15 00:00:00 UTC,67.01992836743214,1165502767.632197,9959005.96059996
2021-11-16 00:00:00 UTC,65.14402644236786,1139730907.069292,8742368.898120023
2021-11-17 00:00:00 UTC,60.90781125300212,1067364027.3553579,12765092.955367902
2021-11-18 00:00:00 UTC,61.719932909942095,1076349704.5438607,10186565.933665667
2021-11-19 00:00:00 UTC,56.39242309761051,987652612.3073951,17801835.066769544
2021-11-20 00:00:00 UTC,59.05268570249551,1030411746.4146396,8822413.09684394
2021-11-21 00:00:00 UTC,59.96894722645155,1050631458.0816616,8928087.830300294
2021-11-22 00:00:00 UTC,59.590861243299365,1045653960.7849103,8279832.510412997
2021-11-23 00:00:00 UTC,56.53701490632463,993422638.3143557,8647531.074347429
2021-11-24 00:00:00 UTC,57.04239840596036,998417897.7366393,8422588.867443118
2021-11-25 00:00:00 UTC,56.09874734567651,981969105.3993455,10129559.360070463
2021-11-26 00:00:00 UTC,58.26294952489794,1022638960.0530273,12329962.932147088
2021-11-27 00:00:00 UTC,53.42008735835713,929247181.9170175,10033575.029807176
2021-11-28 00:00:00 UTC,53.924082707736574,944474031.2614563,7331815.056586619
2021-11-29 00:00:00 UTC,55.00072215440865,963278467.7574294,9001076.085028734
2021-11-30 00:00:00 UTC,55.779161940233685,976912003.0049452,8263779.657591762
2021-12-01 00:00:00 UTC,55.53972114084333,973127936.8925023,9279119.03787051
2021-12-02 00:00:00 UTC,55.200885129271335,966290934.5352563,8754941.937445208
2021-12-03 00:00:00 UTC,54.075057747738,947066451.6894945,7602656.832299835
2021-12-04 00:00:00 UTC,51.603959899311846,904937317.5002794,7311217.643207535
2021-12-05 00:00:00 UTC,44.648743922086425,778322135.7137313,14121264.350778986
2021-12-06 00:00:00 UTC,42.021911814982374,734494105.1413062,9923645.539867897
2021-12-07 00:00:00 UTC,46.05024366182351,804881111.6917613,22603867.625146773
2021-12-08 00:00:00 UTC,46.098897410017244,805776756.3610656,10060175.739308273
2021-12-09 00:00:00 UTC,45.974962326497156,805189530.1380255,7467200.316972609
2021-12-10 00:00:00 UTC,42.76706002547206,753810453.7376322,7038999.934917905
2021-12-11 00:00:00 UTC,46.52123730324247,784978960.163526,69134030.2502184
2021-12-12 00:00:00 UTC,44.50286942413904,778758923.9202662,9626815.551725768
2021-12-13 00:00:00 UTC,44.04256589147418,769976076.9444895,7568089.299330366
2021-12-14 00:00:00 UTC,41.028714532253524,718573788.1355836,13233075.517352585
2021-12-15 00:00:00 UTC,41.90037383006845,733400919.759844,8257702.569500339
2021-12-16 00:00:00 UTC,43.70373506537899,761929845.5576837,14812125.230125627
2021-12-17 00:00:00 UTC,42.2421011389538,739414181.0360956,8955507.60498203
2021-12-18 00:00:00 UTC,40.96738603098692,718141056.3565483,11445687.325982783
2021-12-19 00:00:00 UTC,41.23861370452007,721428105.0119934,8540411.185449554
